use_static_covariates,use_covariates,use_encoders,sample_weight,input_chunk_length,hidden_size,ff_size,num_blocks,dropout,norm_type,batch_size,n_epochs,normalize_before,activation,optimizer,optimizer_kwargs.lr,optimizer_kwargs.weight_decay,WIS_1,WIS_2,WIS_3,WIS,WIS_std,error_flag,error_msg
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,40146.91765154276,39426.726583454816,38662.39122555272,39412.01182018343,606.1446860056283,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,40114.35066478378,40749.10451014334,38077.803047406465,39647.0860741112,1139.5072105892546,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0,36886.366072947036,54020.77303100705,32584.363183309037,41163.83409575437,9259.318416392773,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.001,33815.14230594023,36513.218856748055,33322.6884610362,34550.34987457483,1402.4427922315897,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.0001,38085.584581207484,39462.70204051264,34797.920194667146,37448.735605462425,1956.9074038327365,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,70545.74564489188,68056.85175762269,63525.48000121477,67376.02580124311,2906.1630390268233,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,70090.06793458456,68423.69530384475,63288.17206921161,67267.31176921364,2894.7497301400535,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,69917.36034211007,68239.97998648568,63503.84458652211,67220.39497170596,2715.751742282578,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,54663.68962569849,55753.19768084913,52516.48878340622,54311.12536331795,1344.6926020538383,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,54411.57475355321,55413.402560283044,52184.797093355206,54003.25813573049,1349.3245620338398,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,55343.726922072405,55773.46325999149,53036.68978969266,54717.95999058552,1201.7127905174239,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,49088.073362032315,51963.07705843053,43037.94458348519,48029.69833464934,3719.732579794047,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,46503.611799836006,49102.38815870992,40524.494714832355,45376.831557792764,3591.405413764338,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,48211.97964680516,49899.91719038509,45159.64912794582,47757.18198837869,1961.7451428983804,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,39841.878646592566,37978.27785425777,42307.55807322036,40042.57152469023,1773.1093267787203,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,39154.406192450195,37980.54722136177,42128.30706617469,39754.42015999555,1745.6594749067883,False,
