use_covariates,use_encoders,use_static_covariates,sample_weight,lags,lags_past_covariates,lags_future_covariates,num_leaves,max_depth,learning_rate,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,subsample_freq,min_split_gain,max_bin,WIS,error_flag,error_msg
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,5,0.8,0.8,0.5,0,1,0.0,1024,42550.457234618625,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,5,0.8,0.8,0.5,0.5,1,0.0,1024,42565.87095266216,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,5,0.8,0.8,0.5,1.0,1,0.0,1024,42235.16095737389,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,5,0.8,0.8,1.0,0,1,0.0,1024,42051.64911899123,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,5,0.8,0.8,1.0,0.5,1,0.0,1024,41962.17238632047,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,5,0.8,0.8,1.0,1.0,1,0.0,1024,42196.13423542312,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,10,0.8,0.8,0,0,1,0.0,1024,41575.592903231845,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,10,0.8,0.8,0,0.5,1,0.0,1024,41065.11315992059,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,10,0.8,0.8,0,1.0,1,0.0,1024,41211.56007444427,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,10,0.8,0.8,0.5,0,1,0.0,1024,40647.41747257007,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,10,0.8,0.8,0.5,0.5,1,0.0,1024,40662.207450349066,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,10,0.8,0.8,0.5,1.0,1,0.0,1024,40580.41870881815,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,10,0.8,0.8,1.0,0,1,0.0,1024,40689.17682283745,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,10,0.8,0.8,1.0,0.5,1,0.0,1024,40715.58823235015,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,10,0.8,0.8,1.0,1.0,1,0.0,1024,40761.60170876655,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,20,0.8,0.8,0,0,1,0.0,1024,39761.098590515685,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,20,0.8,0.8,0,0.5,1,0.0,1024,39811.223932444824,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,20,0.8,0.8,0,1.0,1,0.0,1024,39848.73355470547,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,20,0.8,0.8,0.5,0,1,0.0,1024,39668.75921360119,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,20,0.8,0.8,0.5,0.5,1,0.0,1024,40197.24677558803,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,20,0.8,0.8,0.5,1.0,1,0.0,1024,40011.12285970461,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,20,0.8,0.8,1.0,0,1,0.0,1024,39938.548484872044,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,20,0.8,0.8,1.0,0.5,1,0.0,1024,40005.9652694631,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,20,0.8,0.8,1.0,1.0,1,0.0,1024,40067.20763055118,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,5,0.8,0.8,0,0,1,0.0,1024,44322.22471152162,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,5,0.8,0.8,0,0.5,1,0.0,1024,43584.10894226044,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.1,500,5,0.8,0.8,0,1.0,1,0.0,1024,43497.92703782109,False,
