use_static_covariates,use_covariates,use_encoders,sample_weight,input_chunk_length,hidden_size,ff_size,num_blocks,dropout,norm_type,batch_size,n_epochs,normalize_before,activation,optimizer,optimizer_kwargs.lr,optimizer_kwargs.weight_decay,WIS_1,WIS_2,WIS_3,WIS,WIS_std,error_flag,error_msg
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,470.13164072261554,351.32230502915445,551.3511620158267,457.60170258919896,82.1406737212411,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,604.9751582673887,528.0468237192837,502.94137013223656,545.3211173729696,43.40909579206957,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,675.086778425656,563.7072532278218,496.7182751978342,578.5041022837706,73.56648146369274,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,602.4719746980425,565.3197835537276,484.31352131924206,550.701759857004,49.33301794144239,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0,364.54216355164516,395.1842919616826,492.18569866722197,417.3040513935166,54.406989944258875,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.001,460.7455765826739,457.80908410558106,443.8507090795502,454.135123255935,7.370329175397572,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.0001,350.3512466159933,420.5522266763848,547.0741614171179,439.3258782364987,81.40153068437168,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,520.0308405351936,480.3897861568097,397.7239975531029,466.04820808170206,50.950967320387264,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,526.4205116357768,480.78622787380266,395.55228862973763,467.58634271310575,54.23590861155423,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,524.2842267544772,480.66059558517287,396.33131624843816,467.09204619602934,53.110362931891366,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,354.1223926228655,593.6549597823822,381.95772022074135,443.245024208663,106.96124813871621,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,359.94215261870056,582.7343256715951,412.0319974750104,451.5694919217687,95.15425439342621,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,367.1310569814661,580.5789556434819,400.5310483912953,449.41368700541443,93.74481542718853,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,390.7863310860058,321.4332487765514,338.0274070699708,350.08232897750935,29.56860230157578,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,354.8677173573512,345.9712011922116,351.2159259162849,350.6849481552826,3.651342493399452,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,334.47114652748854,317.33112257913365,374.83439582465644,342.2122216437595,24.105321562594526,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,432.3698788265306,805.888950697626,567.641700983965,601.9668435027073,154.4080866180268,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,440.32669174302373,814.8946084964599,538.4694303154936,597.8969101849924,158.58541355366836,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,442.2103105476885,813.5375717149103,560.1040394627239,605.2839739084409,154.92342964375874,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,524.626592825906,855.9316966888798,460.1861873958768,613.5814923035542,173.37504172016506,False,
